id,source_schema,source_table,bronze_table,is_active,created_on,updated_on,target_partitions,pk_columns,batch_group,topic_group,tenant_group,is_modified_on_available
85,FireEvent,CivilianCasualtyLocationStoryAtStart,fireevent_civiliancasualtylocationstoryatstart,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
86,FireEvent,CivilianCasualtyLocationStoryAtStartBelowGradeModValue,fireevent_civiliancasualtylocationstoryatstartbelowgrademodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
87,FireEvent,CivilianCasualtyLocationStoryInjuryOccurred,fireevent_civiliancasualtylocationstoryinjuryoccurred,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
88,FireEvent,CivilianCasualtyLocationStoryInjuryOccurredBelowGradeModValue,fireevent_civiliancasualtylocationstoryinjuryoccurredbelowgrademodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
89,FireEvent,CivilianCasualtyRaceModValue,fireevent_civiliancasualtyracemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
92,FireEvent,FireServiceCasualtyActivityModValue,fireevent_fireservicecasualtyactivitymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
93,FireEvent,FireServiceCasualtyEquipmentFailureModValue,fireevent_fireservicecasualtyequipmentfailuremodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
94,FireEvent,FireServiceCasualtyFireServiceTypeModValue,fireevent_fireservicecasualtyfireservicetypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
95,FireEvent,FireServiceCasualtyGenderModValue,fireevent_fireservicecasualtygendermodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
96,FireEvent,FireServiceCasualtyInjury,fireevent_fireservicecasualtyinjury,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
97,FireEvent,FireServiceCasualtyInjuryBodyPartInjuredModValue,fireevent_fireservicecasualtyinjurybodypartinjuredmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
